2018-01-19 10:05:51,013 | DEBUG | Thread-12        | FileTxnSnapLog                   | 16 - org.apache.hadoop.zookeeper - 3.4.10 | Opening datadir:/private/var/folders/64/2s7rr31n5vv_c95cgwbqwwdh0000gp/T/osgi.8754987889623704333.fw/org.eclipse.osgi/12/data/zkdata snapDir:/private/var/folders/64/2s7rr31n5vv_c95cgwbqwwdh0000gp/T/osgi.8754987889623704333.fw/org.eclipse.osgi/12/data/zkdata
2018-01-19 10:05:51,015 | INFO  | Thread-12        | ZooKeeperServer                  | 16 - org.apache.hadoop.zookeeper - 3.4.10 | tickTime set to 2000
2018-01-19 10:05:51,015 | INFO  | Thread-12        | ZooKeeperServer                  | 16 - org.apache.hadoop.zookeeper - 3.4.10 | minSessionTimeout set to -1
2018-01-19 10:05:51,015 | INFO  | Thread-12        | ZooKeeperServer                  | 16 - org.apache.hadoop.zookeeper - 3.4.10 | maxSessionTimeout set to -1
2018-01-19 10:05:51,018 | INFO  | Thread-12        | NIOServerCnxnFactory             | 16 - org.apache.hadoop.zookeeper - 3.4.10 | binding to port 0.0.0.0/0.0.0.0:2181
2018-01-19 10:05:54,430 | INFO  | main             | service                          | 2 - org.wimi.rosgi.echo.service - 1.0.0.201801181405 | activating
2018-01-19 10:05:55,442 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | added listeners [org.osgi.util.tracker.ServiceTracker$Tracked@4837595f(objectClass=org.osgi.service.log.LogService)]
2018-01-19 10:05:55,443 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Filter (objectClass=org.osgi.service.log.LogService)
2018-01-19 10:05:55,443 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.log.LogService]
2018-01-19 10:05:55,443 | DEBUG | main             | RSFindHook                       | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.log.LogService]
2018-01-19 10:05:55,444 | DEBUG | main             | RSFindHook                       | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping import request for excluded class [org.osgi.service.cm.ConfigurationAdmin]
2018-01-19 10:05:55,446 | DEBUG | main             | command                          | 10 - org.apache.aries.rsa.discovery.command - 1.11.0 | ServiceEvent REGISTERED - {org.osgi.service.remoteserviceadmin.EndpointListener}={osgi.command.function=[endpoints,endpoint], component.name=org.apache.aries.rsa.discovery.command.EndpointsCommand, endpoint.listener.scope=(endpoint.framework.uuid=*), component.id=1, osgi.command.scope=rsa, service.id=70, service.bundleid=10, service.scope=bundle} - org.apache.aries.rsa.discovery.command
2018-01-19 10:05:55,446 | DEBUG | main             | TopologyManagerExport            | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Received REGISTERED ServiceEvent: org.osgi.framework.ServiceEvent[source={org.osgi.service.remoteserviceadmin.EndpointListener}={osgi.command.function=[endpoints,endpoint], component.name=org.apache.aries.rsa.discovery.command.EndpointsCommand, endpoint.listener.scope=(endpoint.framework.uuid=*), component.id=1, osgi.command.scope=rsa, service.id=70, service.bundleid=10, service.scope=bundle}]
2018-01-19 10:05:55,446 | DEBUG | pool-2-thread-2  | TopologyManagerExport            | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping service {org.osgi.service.remoteserviceadmin.EndpointListener}={osgi.command.function=[endpoints,endpoint], component.name=org.apache.aries.rsa.discovery.command.EndpointsCommand, endpoint.listener.scope=(endpoint.framework.uuid=*), component.id=1, osgi.command.scope=rsa, service.id=70, service.bundleid=10, service.scope=bundle}
2018-01-19 10:05:55,448 | DEBUG | main             | EndpointListenerNotifier         | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | new EndpointListener detected
2018-01-19 10:05:55,449 | INFO  | 8826337@5be1d0a4 | osgi                             | 0 - org.eclipse.osgi - 3.10.100.v20150529-1857 | ServiceEvent REGISTERED
